Date,Open,High,Low,Close
2001-01-01,63.876,64.021,63.848,63.999
2001-01-02,63.888,64.296,63.821,63.955
2001-01-03,64.545,64.714,64.088,64.116
2001-01-04,64.11,65.341,64.082,65.301
2001-01-05,65.846,66.563,65.76,66.37
2001-01-08,65.985,66.019,65.452,65.656
2001-01-09,65.263,65.787,65.083,65.747
2001-01-10,65.28,65.47,64.687,65.078
2001-01-11,64.995,65.693,64.856,65.659
2001-01-12,65.559,66.038,65.347,65.977
2001-01-15,65.42,66.001,65.365,65.752
2001-01-16,66.095,66.206,65.045,65.378
2001-01-17,65.138,65.847,64.723,65.83
2001-01-18,66.038,66.577,65.321,65.499
2001-01-19,65.759,65.899,65.152,65.225
2001-01-22,64.818,64.851,64.325,64.425
2001-01-23,64.356,64.982,64.339,64.755
2001-01-24,63.58,64.467,63.4,64.102
2001-01-25,64.036,64.188,63.215,63.471
2001-01-26,63.339,63.735,63.046,63.572
2001-01-29,63.803,63.906,63.042,63.379
2001-01-30,63.474,63.604,62.87,63.028
2001-01-31,62.99,63.458,62.886,63.284
2001-02-01,64.332,64.481,63.603,63.835
2001-02-02,63.675,63.884,63.333,63.719
2001-02-05,63.701,63.926,63.106,63.227
2001-02-06,62.965,63.272,62.74,62.976
2001-02-07,62.687,63.578,62.611,63.523
2001-02-08,62.187,62.434,61.947,62.375
2001-02-09,62.378,62.966,62.18,62.838
2001-02-12,63.131,63.346,63.013,63.077
2001-02-13,62.569,62.681,62.105,62.185
2001-02-14,61.585,61.749,61.331,61.39
2001-02-15,60.979,61.005,60.439,60.476
2001-02-16,61.232,61.503,60.77,61.397
2001-02-19,61.338,61.459,61.11,61.359
2001-02-20,60.516,60.61,60.073,60.318
2001-02-21,60.768,61.388,60.563,61.209
2001-02-22,61.119,61.449,60.715,61.386
2001-02-23,60.909,61.081,60.257,60.377
2001-02-26,60.506,61.007,60.464,60.866
2001-02-27,61.168,61.252,60.905,61.016
2001-02-28,60.806,61.592,60.701,61.477
2001-03-01,61.577,61.703,61.415,61.635
2001-03-02,61.961,62.99,61.913,62.853
2001-03-05,62.102,62.426,61.826,62.082
2001-03-06,61.776,61.797,61.263,61.605
2001-03-07,60.826,61.568,60.682,61.435
