Date,Open,High,Low,Close
2001-01-01,76.31,76.48,76.27,76.45
2001-01-02,76.55,77.03,76.47,76.63
2001-01-03,76.38,76.58,75.84,75.87
2001-01-04,75.78,77.23,75.75,77.19
2001-01-05,77.02,77.86,76.92,77.63
2001-01-08,77.94,77.97,77.31,77.55
2001-01-09,77.58,78.2,77.37,78.16
2001-01-10,77.97,78.2,77.26,77.73
2001-01-11,77.84,78.68,77.68,78.64
2001-01-12,78.64,79.21,78.39,79.14
2001-01-15,78.62,79.32,78.55,79.02
2001-01-16,79.29,79.43,78.03,78.43
2001-01-17,77.94,78.78,77.44,78.76
2001-01-18,78.43,79.07,77.58,77.79
2001-01-19,78.01,78.17,77.29,77.38
2001-01-22,77.61,77.65,77.02,77.14
2001-01-23,77.16,77.91,77.14,77.63
2001-01-24,77.23,78.31,77.02,77.87
2001-01-25,78.08,78.26,77.07,77.39
2001-01-26,77.59,78.08,77.23,77.88
2001-01-29,78.23,78.36,77.3,77.71
2001-01-30,77.58,77.74,76.84,77.03
2001-01-31,76.99,77.56,76.86,77.35
2001-02-01,77.74,77.92,76.86,77.14
2001-02-02,77.36,77.62,76.95,77.42
2001-02-05,76.88,77.15,76.16,76.31
2001-02-06,76.09,76.46,75.82,76.1
2001-02-07,75.85,76.92,75.75,76.86
2001-02-08,76.94,77.25,76.64,77.17
2001-02-09,77.38,78.11,77.14,77.95
2001-02-12,77.39,77.65,77.25,77.32
2001-02-13,77.12,77.26,76.55,76.65
2001-02-14,76.45,76.65,76.13,76.2
2001-02-15,76.14,76.17,75.46,75.51
2001-02-16,75.22,75.55,74.65,75.42
2001-02-19,75.49,75.64,75.21,75.51
2001-02-20,75.59,75.7,75.03,75.34
2001-02-21,75.28,76.04,75.02,75.82
2001-02-22,75.83,76.23,75.32,76.16
2001-02-23,76,76.22,75.19,75.34
2001-02-26,75.53,76.15,75.48,75.98
2001-02-27,76.29,76.39,75.96,76.1
2001-02-28,75.97,76.95,75.84,76.81
2001-03-01,76.12,76.27,75.92,76.19
2001-03-02,75.87,77.13,75.81,76.96
2001-03-05,76.99,77.39,76.64,76.96
2001-03-06,77.37,77.39,76.72,77.15
2001-03-07,76.72,77.66,76.54,77.49
2001-03-08,77.39,77.69,76.95,77.23
2001-03-09,77.41,77.52,76.99,77.3
2001-03-12,77.09,77.86,77.03,77.63
2001-03-13,77.85,77.97,77.38,77.39
2001-03-14,77.23,78.23,76.99,78.16
2001-03-15,77.66,78.68,77.32,78.52
2001-03-16,78.2,78.71,77.83,78.55
2001-03-19,78.53,78.87,77.82,78.44
2001-03-20,78.81,78.84,78.21,78.36
2001-03-21,77.7,78.78,77.54,78.41
2001-03-22,78.46,79.04,78.2,78.51
2001-03-23,78.79,78.97,78.03,78.48
2001-03-26,78.98,79.66,78.31,78.8
2001-03-27,78.82,79.19,77.7,77.81
2001-03-28,77.67,78.53,77.19,78.19
2001-03-29,78.14,79.1,77.62,78.69
2001-03-30,78.5,80.43,78.11,79.99
2001-04-02,80.17,80.62,79.48,80.2
2001-04-03,80.26,80.33,79.22,79.51
2001-04-04,79.78,80.57,79.23,79.71
2001-04-05,79.44,79.75,78.39,78.86
2001-04-06,78.81,80.44,78.56,79.1
2001-04-09,79.52,80.28,79.39,79.89
2001-04-10,80.09,80.59,79.4,80.01
2001-04-11,79.81,80.36,79.25,79.85
2001-04-12,79.94,80.26,78.64,79.13
2001-04-13,79.27,79.74,79.14,79.55
2001-04-16,79.74,80.06,79.45,79.69
2001-04-17,79.79,80.12,78.66,78.84
