Date,Open,High,Low,Close
2001-01-01,71.06,71.06,71.06,71.06
2001-01-02,71.459,71.459,71.459,71.459
2001-01-03,69.558,69.558,69.558,69.558
2001-01-04,72.351,72.351,72.351,72.351
2001-01-05,73.133,73.133,73.133,73.133
2001-01-08,72.053,72.053,72.053,72.053
2001-01-09,72.442,72.442,72.442,72.442
2001-01-10,71.515,71.515,71.515,71.515
2001-01-11,73.222,73.222,73.222,73.222
2001-01-12,73.325,73.325,73.325,73.325
2001-01-15,72.786,72.786,72.786,72.786
2001-01-16,72.055,72.055,72.055,72.055
2001-01-17,72.339,72.339,72.339,72.339
2001-01-18,72.859,72.859,72.859,72.859
2001-01-19,71.452,71.452,71.452,71.452
2001-01-22,71.264,71.264,71.264,71.264
2001-01-23,71.649,71.649,71.649,71.649
2001-01-24,70.906,70.906,70.906,70.906
2001-01-25,70.899,70.899,70.899,70.899
2001-01-26,70.936,70.936,70.936,70.936
2001-01-29,70.32,70.32,70.32,70.32
2001-01-30,70.286,70.286,70.286,70.286
2001-01-31,71.001,71.001,71.001,71.001
2001-02-01,70.796,70.796,70.796,70.796
2001-02-02,70.445,70.445,70.445,70.445
2001-02-05,70.082,70.082,70.082,70.082
2001-02-06,69.42,69.42,69.42,69.42
2001-02-07,70.187,70.187,70.187,70.187
2001-02-08,69.835,69.835,69.835,69.835
2001-02-09,70.825,70.825,70.825,70.825
2001-02-12,71.187,71.187,71.187,71.187
2001-02-13,69.879,69.879,69.879,69.879
2001-02-14,69.586,69.586,69.586,69.586
2001-02-15,68.136,68.136,68.136,68.136
2001-02-16,68.902,68.902,68.902,68.902
2001-02-19,69.529,69.529,69.529,69.529
2001-02-20,68.748,68.748,68.748,68.748
2001-02-21,69.107,69.107,69.107,69.107
2001-02-22,69.162,69.162,69.162,69.162
2001-02-23,69.287,69.287,69.287,69.287
2001-02-26,69.209,69.209,69.209,69.209
2001-02-27,69.312,69.312,69.312,69.312
2001-02-28,70.256,70.256,70.256,70.256
2001-03-01,70.94,70.94,70.94,70.94
2001-03-02,72.381,72.381,72.381,72.381
2001-03-05,71.99,71.99,71.99,71.99
2001-03-06,72.274,72.274,72.274,72.274
2001-03-07,72.49,72.49,72.49,72.49
2001-03-08,72.403,72.403,72.403,72.403
2001-03-09,72.231,72.231,72.231,72.231
2001-03-12,72.558,72.558,72.558,72.558
2001-03-13,71.029,71.029,71.029,71.029
2001-03-14,71.712,71.712,71.712,71.712
2001-03-15,71.521,71.521,71.521,71.521
2001-03-16,71.79,71.79,71.79,71.79
2001-03-19,72.082,72.082,72.082,72.082
2001-03-20,72.409,72.409,72.409,72.409
2001-03-21,72.024,72.024,72.024,72.024
2001-03-22,71.673,71.673,71.673,71.673
2001-03-23,71.323,71.323,71.323,71.323
2001-03-26,71.618,71.618,71.618,71.618
2001-03-27,71.003,71.003,71.003,71.003
2001-03-28,70.791,70.791,70.791,70.791
2001-03-29,71.572,71.572,71.572,71.572
2001-03-30,72.455,72.455,72.455,72.455
2001-04-02,73.04,73.04,73.04,73.04
2001-04-03,73.719,73.719,73.719,73.719
2001-04-04,73.978,73.978,73.978,73.978
2001-04-05,72.756,72.756,72.756,72.756
2001-04-06,73.153,73.153,73.153,73.153
2001-04-09,73.365,73.365,73.365,73.365
2001-04-10,72.445,72.445,72.445,72.445
2001-04-11,72.974,72.974,72.974,72.974
2001-04-12,72.492,72.492,72.492,72.492
2001-04-13,72.49,72.49,72.49,72.49
2001-04-16,72.609,72.609,72.609,72.609
2001-04-17,71.347,71.347,71.347,71.347
2001-04-18,70.428,70.428,70.428,70.428
2001-04-19,70.968,70.968,70.968,70.968
2001-04-20,72.204,72.204,72.204,72.204
2001-04-23,71.122,71.122,71.122,71.122
2001-04-24,71.289,71.289,71.289,71.289
2001-04-25,71.514,71.514,71.514,71.514
2001-04-26,72.287,72.287,72.287,72.287
2001-04-27,71.777,71.777,71.777,71.777
2001-04-30,71.227,71.227,71.227,71.227
2001-05-01,70.756,70.756,70.756,70.756
2001-05-02,70.314,70.314,70.314,70.314
2001-05-03,70.041,70.041,70.041,70.041
2001-05-04,70.174,70.174,70.174,70.174
2001-05-07,69.958,69.958,69.958,69.958
2001-05-08,69.57,69.57,69.57,69.57
2001-05-09,70.162,70.162,70.162,70.162
2001-05-10,70.399,70.399,70.399,70.399
2001-05-11,69.968,69.968,69.968,69.968
2001-05-14,70.397,70.397,70.397,70.397
2001-05-15,70.769,70.769,70.769,70.769
2001-05-16,71.192,71.192,71.192,71.192
2001-05-17,70.466,70.466,70.466,70.466
2001-05-18,70.878,70.878,70.878,70.878
2001-05-21,70.251,70.251,70.251,70.251
2001-05-22,69.409,69.409,69.409,69.409
2001-05-23,67.379,67.379,67.379,67.379
2001-05-24,67.459,67.459,67.459,67.459
2001-05-25,67.997,67.997,67.997,67.997
2001-05-28,68.11,68.11,68.11,68.11
2001-05-29,67.324,67.324,67.324,67.324
2001-05-30,67.724,67.724,67.724,67.724
2001-05-31,66.392,66.392,66.392,66.392
2001-06-01,66.441,66.441,66.441,66.441
2001-06-04,66.469,66.469,66.469,66.469
2001-06-05,67.732,67.732,67.732,67.732
2001-06-06,67.202,67.202,67.202,67.202
2001-06-07,67.041,67.041,67.041,67.041
2001-06-08,67.168,67.168,67.168,67.168
2001-06-11,67.611,67.611,67.611,67.611
2001-06-12,67.984,67.984,67.984,67.984
2001-06-13,68.187,68.187,68.187,68.187
2001-06-14,68.426,68.426,68.426,68.426
2001-06-15,69.245,69.245,69.245,69.245
2001-06-18,69.413,69.413,69.413,69.413
2001-06-19,68.759,68.759,68.759,68.759
2001-06-20,69.346,69.346,69.346,69.346
2001-06-21,70.084,70.084,70.084,70.084
2001-06-22,70.216,70.216,70.216,70.216
2001-06-25,69.997,69.997,69.997,69.997
2001-06-26,70.165,70.165,70.165,70.165
2001-06-27,70.428,70.428,70.428,70.428
2001-06-28,69.248,69.248,69.248,69.248
2001-06-29,69.572,69.572,69.572,69.572
2001-07-02,69.194,69.194,69.194,69.194
2001-07-03,69.285,69.285,69.285,69.285
2001-07-04,69.211,69.211,69.211,69.211
2001-07-05,69.139,69.139,69.139,69.139
2001-07-06,70.223,70.223,70.223,70.223
2001-07-09,69.848,69.848,69.848,69.848
2001-07-10,70.524,70.524,70.524,70.524
2001-07-11,70.399,70.399,70.399,70.399
2001-07-12,69.949,69.949,69.949,69.949
2001-07-13,70.614,70.614,70.614,70.614
2001-07-16,70.865,70.865,70.865,70.865
2001-07-17,71.201,71.201,71.201,71.201
2001-07-18,71.923,71.923,71.923,71.923
2001-07-19,71.423,71.423,71.423,71.423
2001-07-20,71.248,71.248,71.248,71.248
2001-07-23,71.793,71.793,71.793,71.793
2001-07-24,72.001,72.001,72.001,72.001
2001-07-25,72.111,72.111,72.111,72.111
2001-07-26,71.904,71.904,71.904,71.904
2001-07-27,71.743,71.743,71.743,71.743
2001-07-30,71.672,72.607,71.671,72.43
2001-07-31,72.431,72.431,72.103,72.386
2001-08-01,72.299,72.774,72.299,72.7
2001-08-02,72.533,72.901,72.098,72.343
2001-08-03,72.364,72.477,72.172,72.42
2001-08-06,72.409,72.587,72.118,72.447
2001-08-07,72.387,72.387,71.813,71.915
2001-08-08,71.79,72.293,71.473,72.292
2001-08-09,72.305,72.631,71.99,72.058
2001-08-10,72.245,72.463,71.931,71.971
2001-08-13,72.09,72.548,72.013,72.323
2001-08-14,72.41,72.769,71.881,72.513
2001-08-15,72.451,72.687,71.572,71.883
2001-08-16,72.032,72.343,71.896,72.202
2001-08-17,72.083,72.744,72.054,72.568
2001-08-20,72.561,72.737,72.375,72.648
2001-08-21,72.566,72.711,71.882,72.232
2001-08-22,72.383,72.665,72.13,72.319
2001-08-23,72.221,72.422,72.034,72.113
2001-08-24,72.104,72.198,71.871,72.035
2001-08-27,72.105,72.165,71.799,71.834
2001-08-28,71.826,72.42,71.592,72.141
2001-08-29,72.084,72.2,71.458,72.042
2001-08-30,71.873,72.359,71.597,72.207
2001-08-31,72.187,72.251,71.089,71.449
2001-09-03,71.435,71.461,70.951,71.057
2001-09-04,70.889,71.157,69.745,69.994
2001-09-05,69.985,71.126,69.934,70.85
2001-09-06,71.093,71.797,70.894,71.736
2001-09-07,71.519,71.847,71.417,71.802
2001-09-10,71.829,72.022,71.468,71.705
2001-09-11,71.805,72.721,70.53,72.589
2001-09-12,72.509,72.803,71.701,72.007
2001-09-13,72.08,72.137,71.67,72.106
2001-09-14,72.173,72.584,71.978,72.262
2001-09-17,72.568,73.699,72.229,73.404
2001-09-18,73.354,73.488,72.927,73.421
2001-09-19,73.408,74.077,73.222,73.758
2001-09-20,73.635,73.778,72.627,73.266
2001-09-21,73.306,74.245,73.255,73.882
2001-09-24,73.891,74.018,73.166,73.594
2001-09-25,73.559,74.154,73.331,74.02
2001-09-26,74.058,74.058,73.341,73.683
2001-09-27,73.711,74.407,73.572,74.196
2001-09-28,74.134,74.134,73.399,73.679
2001-10-01,73.628,74.452,73.29,74.365
2001-10-02,74.368,74.998,74.197,74.615
2001-10-03,74.461,75.332,74.271,74.299
2001-10-04,74.415,74.5,73.999,74.369
2001-10-05,74.378,74.592,73.992,74.582
2001-10-08,74.483,74.817,74.302,74.511
2001-10-09,74.588,74.89,73.996,73.997
2001-10-10,74.11,74.293,73.771,73.901
2001-10-11,73.978,74.01,73.602,73.826
2001-10-12,73.931,74.471,73.658,74.471
2001-10-15,74.568,74.736,74.069,74.327
