Date,Open,High,Low,Close
2001-01-01,107.78,107.94,107.13,107.77
2001-01-02,107.7,108.82,107.25,108.71
2001-01-03,108.78,109.48,105.34,105.45
2001-01-04,105.26,109.89,105.15,109.85
2001-01-05,109.66,111.72,109.6,111.63
2001-01-08,111.63,111.73,109.67,109.86
2001-01-09,109.75,110.38,108.63,110.38
2001-01-10,110.23,110.49,108.96,109.11
2001-01-11,109.07,112.36,108.9,112.19
2001-01-12,112.14,113.15,111.27,112.7
2001-01-15,112.74,113.06,111.63,112.04
2001-01-16,112.07,112.4,109.75,110.72
2001-01-17,110.82,111.17,108.96,111.17
2001-01-18,111.2,112.12,110.56,111.3
2001-01-19,111.28,112.12,109.23,109.3
2001-01-22,109.37,109.8,107.93,109.22
2001-01-23,109.08,110.78,109.07,109.68
2001-01-24,109.46,109.95,108.49,108.5
2001-01-25,108.56,108.88,106.64,107.93
2001-01-26,107.91,108.59,107.27,108.34
2001-01-29,108.52,108.7,106.88,106.95
2001-01-30,106.99,108.03,106.41,107.32
2001-01-31,107.23,109,107.06,108.88
2001-02-01,109.09,109.86,108.12,108.48
2001-02-02,108.38,108.98,107.55,108.19
2001-02-05,108.17,109.23,107.5,107.66
2001-02-06,107.48,108.12,106.54,106.74
2001-02-07,106.82,108.67,106.48,107.92
2001-02-08,107.88,108.27,106.05,107.05
2001-02-09,107,109.08,106.61,108.61
2001-02-12,108.65,109.63,108.6,109.3
2001-02-13,109.31,109.65,106.88,107.39
2001-02-14,107.2,107.67,106.45,106.62
2001-02-15,106.8,107.22,104.25,104.35
2001-02-16,104.39,106.1,104.08,105.62
2001-02-19,105.83,107.1,105.57,106.88
2001-02-20,106.84,107.3,104.38,105.46
2001-02-21,105.48,107.07,104.7,105.9
2001-02-22,105.89,106.2,104.7,105.95
2001-02-23,105.66,106.72,105.19,106.21
2001-02-26,106.33,106.66,105.06,106.18
2001-02-27,106.01,106.9,105.68,106.56
2001-02-28,106.58,108.57,106.15,108.25
2001-03-01,108.31,109.43,108.03,109.12
2001-03-02,109.09,111.7,109.01,111.25
2001-03-05,111.22,111.67,110.27,110.62
2001-03-06,110.7,111.13,109.47,111.07
2001-03-07,110.9,112.28,110.65,111.46
2001-03-08,111.45,111.94,110.74,111.53
2001-03-09,111.59,111.99,110.94,111.43
2001-03-12,111.45,112.56,111.16,111.74
2001-03-13,111.73,112.08,109.41,109.42
2001-03-14,109.41,110.79,108.32,110.25
2001-03-15,110.29,110.77,109.06,109.87
2001-03-16,109.74,110.35,109.39,110.22
2001-03-19,110.44,110.99,109.45,110.48
2001-03-20,110.52,111.2,109.95,111.09
2001-03-21,111.07,112.4,110.28,110.42
2001-03-22,110.46,110.96,109.48,109.61
2001-03-23,109.56,110.19,108.98,109.16
2001-03-26,109.74,110.38,109.57,109.89
2001-03-27,109.94,110.15,108.89,108.89
2001-03-28,108.89,109.3,107.57,108.31
2001-03-29,108.47,109.62,108.35,109.19
2001-03-30,108.97,111,108.9,110.9
2001-04-02,110.82,111.94,110.38,111.51
2001-04-03,111.64,112.74,111.02,112.65
2001-04-04,112.76,113.62,112.58,113.09
2001-04-05,112.75,113.48,111.09,111.2
2001-04-06,111.13,113.01,111.13,111.91
2001-04-09,112.27,113.23,112.09,112.16
2001-04-10,112.11,112.27,110.3,110.63
2001-04-11,110.4,110.91,109.66,110.87
2001-04-12,110.88,110.92,108.94,110.29
2001-04-13,110.5,110.95,110.22,110.33
2001-04-16,110.75,111.03,110.12,110.62
2001-04-17,110.74,110.74,108.42,108.99
2001-04-18,108.99,108.99,106.81,107.72
2001-04-19,108.03,108.89,107.45,108.63
2001-04-20,108.87,110.85,108.69,110.4
2001-04-23,109.73,111.12,108.8,108.86
2001-04-24,108.88,109.94,108.88,109.25
2001-04-25,109.47,109.9,108.96,109.56
2001-04-26,109.64,111.35,109.4,111.25
2001-04-27,111.37,112.12,110.28,110.45
2001-04-30,110.55,110.62,109.32,109.81
2001-05-01,109.85,109.85,108.69,109.07
2001-05-02,108.98,109.31,108.16,108.55
2001-05-03,108.92,109.01,107.67,107.99
2001-05-04,108.1,108.97,107.72,108.32
2001-05-07,108.51,108.72,107.79,107.91
2001-05-08,107.76,108.4,107.12,107.29
2001-05-09,107.43,108.21,107.22,108.14
2001-05-10,108.35,108.86,107.83,108.14
2001-05-11,107.98,108.24,106.86,107.24
2001-05-14,107.38,107.85,107.12,107.77
2001-05-15,107.75,108.52,107.64,108.44
2001-05-16,108.4,109.64,108.36,109.13
2001-05-17,108.87,109.18,108.07,108.18
