Date,Open,High,Low,Close
2001-01-01,171.09,171.09,171.09,171.09
2001-01-02,171.79,171.79,171.79,171.79
2001-01-03,167.59,167.59,167.59,167.59
2001-01-04,173.62,173.62,173.62,173.62
2001-01-05,175.8,175.8,175.8,175.8
2001-01-08,173.36,173.36,173.36,173.36
2001-01-09,174.98,174.98,174.98,174.98
2001-01-10,173.19,173.19,173.19,173.19
2001-01-11,176.54,176.54,176.54,176.54
2001-01-12,175.96,175.96,175.96,175.96
2001-01-15,175.94,175.94,175.94,175.94
2001-01-16,173,173,173,173
2001-01-17,175.85,175.85,175.85,175.85
2001-01-18,173.77,173.77,173.77,173.77
2001-01-19,171.32,171.32,171.32,171.32
2001-01-22,170.74,170.74,170.74,170.74
2001-01-23,171.78,171.78,171.78,171.78
2001-01-24,171.32,171.32,171.32,171.32
2001-01-25,171.13,171.13,171.13,171.13
2001-01-26,171.51,171.51,171.51,171.51
2001-01-29,169.65,169.65,169.65,169.65
2001-01-30,169.49,169.49,169.49,169.49
2001-01-31,171.11,171.11,171.11,171.11
2001-02-01,170.38,170.38,170.38,170.38
2001-02-02,170.4,170.4,170.4,170.4
2001-02-05,169.01,169.01,169.01,169.01
2001-02-06,167.3,167.3,167.3,167.3
2001-02-07,168.89,168.89,168.89,168.89
2001-02-08,168.42,168.42,168.42,168.42
2001-02-09,170,170,170,170
2001-02-12,170.81,170.81,170.81,170.81
2001-02-13,169.17,169.17,169.17,169.17
2001-02-14,169.29,169.29,169.29,169.29
2001-02-15,166.53,166.53,166.53,166.53
2001-02-16,167.65,167.65,167.65,167.65
2001-02-19,167.81,167.81,167.81,167.81
2001-02-20,167.4,167.4,167.4,167.4
2001-02-21,167.54,167.54,167.54,167.54
2001-02-22,168.82,168.82,168.82,168.82
2001-02-23,169.45,169.45,169.45,169.45
2001-02-26,168.51,168.51,168.51,168.51
2001-02-27,167.23,167.23,167.23,167.23
2001-02-28,169.59,169.59,169.59,169.59
2001-03-01,170.87,170.87,170.87,170.87
2001-03-02,175.39,175.39,175.39,175.39
2001-03-05,174.87,174.87,174.87,174.87
2001-03-06,175.16,175.16,175.16,175.16
