Date,Open,High,Low,Close
2001-01-01,13.05,13.05,13.05,13.05
2001-01-02,13.107,13.107,13.107,13.107
2001-01-03,12.71,12.71,12.71,12.71
2001-01-04,13.3,13.3,13.3,13.3
2001-01-05,13.476,13.476,13.476,13.476
2001-01-08,13.246,13.246,13.246,13.246
2001-01-09,13.393,13.393,13.393,13.393
2001-01-10,13.313,13.313,13.313,13.313
2001-01-11,13.688,13.688,13.688,13.688
2001-01-12,13.72,13.72,13.72,13.72
2001-01-15,13.646,13.646,13.646,13.646
2001-01-16,13.472,13.472,13.472,13.472
2001-01-17,13.54,13.54,13.54,13.54
2001-01-18,13.528,13.528,13.528,13.528
2001-01-19,13.312,13.312,13.312,13.312
2001-01-22,13.294,13.294,13.294,13.294
2001-01-23,13.264,13.264,13.264,13.264
2001-01-24,13.188,13.188,13.188,13.188
2001-01-25,13.151,13.151,13.151,13.151
2001-01-26,13.203,13.203,13.203,13.203
2001-01-29,13.073,13.073,13.073,13.073
2001-01-30,13.059,13.059,13.059,13.059
2001-01-31,13.191,13.191,13.191,13.191
2001-02-01,13.207,13.207,13.207,13.207
2001-02-02,13.205,13.205,13.205,13.205
2001-02-05,13.137,13.137,13.137,13.137
2001-02-06,13.069,13.069,13.069,13.069
2001-02-07,13.184,13.184,13.184,13.184
2001-02-08,13.13,13.13,13.13,13.13
2001-02-09,13.254,13.254,13.254,13.254
2001-02-12,13.315,13.315,13.315,13.315
2001-02-13,13.088,13.088,13.088,13.088
2001-02-14,12.977,12.977,12.977,12.977
2001-02-15,12.742,12.742,12.742,12.742
2001-02-16,12.915,12.915,12.915,12.915
2001-02-19,13.018,13.018,13.018,13.018
2001-02-20,12.829,12.829,12.829,12.829
2001-02-21,12.862,12.862,12.862,12.862
2001-02-22,12.85,12.85,12.85,12.85
2001-02-23,12.893,12.893,12.893,12.893
2001-02-26,12.923,12.923,12.923,12.923
2001-02-27,12.959,12.959,12.959,12.959
2001-02-28,13.172,13.172,13.172,13.172
2001-03-01,13.258,13.258,13.258,13.258
2001-03-02,13.519,13.519,13.519,13.519
2001-03-05,13.446,13.446,13.446,13.446
2001-03-06,13.527,13.527,13.527,13.527
2001-03-07,13.573,13.573,13.573,13.573
2001-03-08,13.597,13.597,13.597,13.597
2001-03-09,13.598,13.598,13.598,13.598
2001-03-12,13.601,13.601,13.601,13.601
2001-03-13,13.326,13.326,13.326,13.326
2001-03-14,13.485,13.485,13.485,13.485
2001-03-15,13.428,13.428,13.428,13.428
2001-03-16,13.512,13.512,13.512,13.512
2001-03-19,13.606,13.606,13.606,13.606
2001-03-20,13.655,13.655,13.655,13.655
2001-03-21,13.594,13.594,13.594,13.594
2001-03-22,13.543,13.543,13.543,13.543
2001-03-23,13.496,13.496,13.496,13.496
2001-03-26,13.575,13.575,13.575,13.575
2001-03-27,13.476,13.476,13.476,13.476
2001-03-28,13.378,13.378,13.378,13.378
2001-03-29,13.611,13.611,13.611,13.611
2001-03-30,13.765,13.765,13.765,13.765
2001-04-02,13.831,13.831,13.831,13.831
2001-04-03,13.85,13.85,13.85,13.85
2001-04-04,13.823,13.823,13.823,13.823
2001-04-05,13.684,13.684,13.684,13.684
2001-04-06,13.767,13.767,13.767,13.767
2001-04-09,13.786,13.786,13.786,13.786
2001-04-10,13.699,13.699,13.699,13.699
2001-04-11,13.729,13.729,13.729,13.729
2001-04-12,13.629,13.629,13.629,13.629
2001-04-13,13.632,13.632,13.632,13.632
2001-04-16,13.654,13.654,13.654,13.654
2001-04-17,13.534,13.534,13.534,13.534
2001-04-18,13.424,13.424,13.424,13.424
2001-04-19,13.412,13.412,13.412,13.412
2001-04-20,13.571,13.571,13.571,13.571
2001-04-23,13.387,13.387,13.387,13.387
2001-04-24,13.41,13.41,13.41,13.41
2001-04-25,13.402,13.402,13.402,13.402
2001-04-26,13.629,13.629,13.629,13.629
2001-04-27,13.616,13.616,13.616,13.616
2001-04-30,13.599,13.599,13.599,13.599
2001-05-01,13.498,13.498,13.498,13.498
2001-05-02,13.417,13.417,13.417,13.417
2001-05-03,13.357,13.357,13.357,13.357
2001-05-04,13.41,13.41,13.41,13.41
2001-05-07,13.366,13.366,13.366,13.366
2001-05-08,13.346,13.346,13.346,13.346
2001-05-09,13.425,13.425,13.425,13.425
2001-05-10,13.423,13.423,13.423,13.423
2001-05-11,13.369,13.369,13.369,13.369
2001-05-14,13.461,13.461,13.461,13.461
2001-05-15,13.513,13.513,13.513,13.513
2001-05-16,13.618,13.618,13.618,13.618
2001-05-17,13.51,13.51,13.51,13.51
2001-05-18,13.646,13.646,13.646,13.646
2001-05-21,13.541,13.541,13.541,13.541
2001-05-22,13.381,13.381,13.381,13.381
2001-05-23,12.93,12.93,12.93,12.93
2001-05-24,12.993,12.993,12.993,12.993
2001-05-25,13.154,13.154,13.154,13.154
2001-05-28,13.151,13.151,13.151,13.151
2001-05-29,12.993,12.993,12.993,12.993
2001-05-30,13.037,13.037,13.037,13.037
2001-05-31,12.71,12.71,12.71,12.71
2001-06-01,12.61,12.61,12.61,12.61
2001-06-04,12.642,12.642,12.642,12.642
2001-06-05,12.921,12.921,12.921,12.921
2001-06-06,12.842,12.842,12.842,12.842
2001-06-07,12.837,12.837,12.837,12.837
2001-06-08,12.88,12.88,12.88,12.88
2001-06-11,12.941,12.941,12.941,12.941
2001-06-12,12.963,12.963,12.963,12.963
2001-06-13,13.082,13.082,13.082,13.082
2001-06-14,13.086,13.086,13.086,13.086
2001-06-15,13.303,13.303,13.303,13.303
2001-06-18,13.441,13.441,13.441,13.441
2001-06-19,13.438,13.438,13.438,13.438
2001-06-20,13.417,13.417,13.417,13.417
2001-06-21,13.534,13.534,13.534,13.534
2001-06-22,13.539,13.539,13.539,13.539
2001-06-25,13.404,13.404,13.404,13.404
2001-06-26,13.543,13.543,13.543,13.543
2001-06-27,13.507,13.507,13.507,13.507
2001-06-28,13.389,13.389,13.389,13.389
2001-06-29,13.371,13.371,13.371,13.371
2001-07-02,13.215,13.215,13.215,13.215
2001-07-03,13.313,13.313,13.313,13.313
2001-07-04,13.278,13.278,13.278,13.278
2001-07-05,13.342,13.342,13.342,13.342
2001-07-06,13.45,13.45,13.45,13.45
2001-07-09,13.461,13.461,13.461,13.461
2001-07-10,13.502,13.502,13.502,13.502
2001-07-11,13.375,13.375,13.375,13.375
2001-07-12,13.277,13.277,13.277,13.277
2001-07-13,13.416,13.416,13.416,13.416
2001-07-16,13.416,13.416,13.416,13.416
2001-07-17,13.411,13.411,13.411,13.411
2001-07-18,13.517,13.517,13.517,13.517
2001-07-19,13.441,13.441,13.441,13.441
2001-07-20,13.388,13.388,13.388,13.388
2001-07-23,13.522,13.522,13.522,13.522
2001-07-24,13.541,13.541,13.541,13.541
2001-07-25,13.575,13.575,13.575,13.575
2001-07-26,13.57,13.57,13.57,13.57
2001-07-27,13.545,13.545,13.545,13.545
2001-07-30,13.52,13.736,13.52,13.676
2001-07-31,13.672,13.711,13.638,13.708
2001-08-01,13.687,13.771,13.678,13.697
2001-08-02,13.663,13.725,13.623,13.659
2001-08-03,13.666,13.72,13.629,13.686
2001-08-06,13.685,13.732,13.625,13.704
2001-08-07,13.697,13.697,13.578,13.608
2001-08-08,13.573,13.675,13.525,13.675
2001-08-09,13.664,13.713,13.562,13.587
2001-08-10,13.621,13.652,13.523,13.537
2001-08-13,13.558,13.612,13.527,13.567
2001-08-14,13.574,13.661,13.497,13.589
2001-08-15,13.582,13.592,13.377,13.429
2001-08-16,13.457,13.567,13.43,13.548
2001-08-17,13.512,13.596,13.506,13.569
2001-08-20,13.543,13.594,13.522,13.577
2001-08-21,13.579,13.589,13.455,13.527
2001-08-22,13.551,13.621,13.506,13.563
2001-08-23,13.553,13.578,13.49,13.515
2001-08-24,13.503,13.546,13.455,13.528
2001-08-27,13.584,13.584,13.49,13.504
2001-08-28,13.502,13.597,13.468,13.555
2001-08-29,13.567,13.581,13.442,13.55
2001-08-30,13.531,13.603,13.475,13.573
2001-08-31,13.569,13.575,13.377,13.449
2001-09-03,13.45,13.47,13.401,13.45
2001-09-04,13.454,13.478,13.322,13.353
2001-09-05,13.378,13.547,13.37,13.508
2001-09-06,13.549,13.645,13.496,13.641
2001-09-07,13.61,13.66,13.551,13.626
2001-09-10,13.644,13.659,13.567,13.622
2001-09-11,13.626,13.779,13.568,13.623
2001-09-12,13.666,13.678,13.513,13.582
2001-09-13,13.608,13.613,13.483,13.554
2001-09-14,13.535,13.607,13.41,13.456
2001-09-17,13.53,13.647,13.415,13.628
2001-09-18,13.628,13.663,13.503,13.594
2001-09-19,13.591,13.774,13.574,13.757
2001-09-20,13.752,13.772,13.48,13.582
2001-09-21,13.614,13.724,13.451,13.493
2001-09-24,13.499,13.536,13.42,13.446
2001-09-25,13.448,13.565,13.322,13.526
2001-09-26,13.518,13.548,13.437,13.485
2001-09-27,13.506,13.615,13.471,13.552
2001-09-28,13.549,13.549,13.404,13.452
2001-10-01,13.459,13.656,13.458,13.649
2001-10-02,13.646,13.775,13.623,13.752
2001-10-03,13.697,13.821,13.639,13.643
2001-10-04,13.641,13.719,13.623,13.675
2001-10-05,13.692,13.757,13.645,13.749
2001-10-08,13.697,13.719,13.654,13.711
2001-10-09,13.712,13.8,13.692,13.727
2001-10-10,13.751,13.799,13.678,13.71
2001-10-11,13.715,13.827,13.7,13.8
2001-10-12,13.8,13.85,13.765,13.839
2001-10-15,13.877,13.881,13.742,13.795
2001-10-16,13.764,13.834,13.713,13.798
2001-10-17,13.805,13.839,13.753,13.775
2001-10-18,13.776,13.793,13.707,13.756
2001-10-19,13.744,13.749,13.617,13.663
2001-10-22,13.695,13.735,13.628,13.709
2001-10-23,13.689,13.788,13.685,13.719
2001-10-24,13.732,13.808,13.717,13.799
2001-10-25,13.83,13.845,13.749,13.774
2001-10-26,13.769,13.818,13.723,13.782
2001-10-29,13.764,13.858,13.735,13.838
2001-10-30,13.854,13.872,13.811,13.825
2001-10-31,13.844,13.848,13.757,13.761
