Date,Open,High,Low,Close
2001-01-01,50.658,50.773,50.636,50.755
2001-01-02,50.521,50.844,50.468,50.574
2001-01-03,51.143,51.277,50.78,50.803
2001-01-04,50.55,51.52,50.527,51.489
2001-01-05,52.18,52.748,52.112,52.595
2001-01-08,52.5,52.527,52.076,52.239
2001-01-09,51.84,52.256,51.697,52.225
2001-01-10,52.117,52.269,51.644,51.957
2001-01-11,52.284,52.845,52.172,52.818
2001-01-12,52.566,52.95,52.396,52.901
2001-01-15,52.443,52.908,52.398,52.709
2001-01-16,52.834,52.923,51.994,52.261
2001-01-17,52.07,52.636,51.738,52.623
2001-01-18,53.031,53.464,52.456,52.598
2001-01-19,52.868,52.98,52.38,52.438
2001-01-22,52.218,52.245,51.821,51.901
2001-01-23,51.8,52.304,51.787,52.121
2001-01-24,51.163,51.877,51.018,51.583
2001-01-25,51.042,51.163,50.388,50.591
2001-01-26,50.873,51.191,50.638,51.06
2001-01-29,51.054,51.136,50.445,50.715
2001-01-30,50.908,51.012,50.423,50.55
2001-01-31,50.519,50.894,50.436,50.755
2001-02-01,52.009,52.13,51.42,51.607
2001-02-02,51.338,51.507,51.062,51.373
2001-02-05,51.132,51.313,50.654,50.752
2001-02-06,50.808,51.057,50.627,50.817
2001-02-07,50.878,51.6,50.816,51.556
2001-02-08,50.445,50.644,50.249,50.597
2001-02-09,50.77,51.249,50.609,51.145
2001-02-12,51.366,51.54,51.27,51.322
2001-02-13,50.889,50.98,50.512,50.577
2001-02-14,49.884,50.017,49.679,49.726
2001-02-15,49.391,49.412,48.954,48.983
2001-02-16,49.545,49.764,49.171,49.678
2001-02-19,49.974,50.073,49.789,49.991
2001-02-20,49.518,49.595,49.155,49.356
2001-02-21,49.733,50.241,49.566,50.095
2001-02-22,50.233,50.504,49.901,50.453
2001-02-23,50.275,50.417,49.738,49.836
2001-02-26,49.749,50.161,49.714,50.045
2001-02-27,50.285,50.354,50.069,50.16
2001-02-28,49.854,50.498,49.768,50.404
2001-03-01,50.681,50.784,50.547,50.728
2001-03-02,51.142,51.992,51.103,51.878
2001-03-05,51.451,51.719,51.222,51.434
2001-03-06,51.371,51.388,50.944,51.228
2001-03-07,50.467,51.083,50.348,50.973
2001-03-08,50.623,50.821,50.336,50.521
2001-03-09,50.449,50.516,50.175,50.377
2001-03-12,50.103,50.606,50.065,50.455
2001-03-13,50.206,50.281,49.898,49.91
2001-03-14,49.775,50.42,49.617,50.374
2001-03-15,49.727,50.38,49.513,50.282
2001-03-16,50.616,50.943,50.376,50.84
2001-03-19,51.463,51.685,50.999,51.405
2001-03-20,51.386,51.411,50.997,51.093
2001-03-21,50.584,51.291,50.48,51.047
2001-03-22,51.051,51.427,50.885,51.084
2001-03-23,51.661,51.661,50.921,50.921
2001-03-26,50.852,51.079,50.085,50.879
2001-03-27,50.663,50.663,50.339,50.413
2001-03-28,50.158,50.196,50.033,50.033
2001-03-29,50.185,50.583,50.185,50.583
2001-03-30,49.931,50.75,49.889,50.75
2001-04-02,50.922,50.922,50.121,50.311
2001-04-03,50.398,50.856,50.384,50.856
2001-04-04,51.141,51.141,50.532,50.94
2001-04-05,50.731,50.731,49.94,49.94
2001-04-06,50.085,50.499,50.085,50.299
2001-04-09,50.516,50.53,50.048,50.048
2001-04-10,50.002,50.186,49.948,50.01
2001-04-11,50.024,50.457,50.024,50.457
2001-04-12,50.471,50.471,50.041,50.268
2001-04-13,50.378,50.614,50.378,50.537
2001-04-16,50.644,51.101,50.644,51.037
2001-04-17,50.952,50.952,49.71,49.71
2001-04-18,49.816,49.816,49.382,49.382
2001-04-19,49.261,49.708,49.261,49.684
2001-04-20,49.683,50.502,49.683,50.455
2001-04-23,50.169,50.345,49.716,49.866
2001-04-24,49.856,50.123,49.613,50.123
2001-04-25,50.227,50.227,49.833,50.135
2001-04-26,50.111,50.658,50.111,50.658
2001-04-27,50.956,51.142,50.956,51.142
2001-04-30,51.003,51.047,50.792,51.047
2001-05-01,51.166,51.23,50.982,51.047
2001-05-02,51.204,51.359,51.204,51.359
2001-05-03,51.345,51.345,51.028,51.028
2001-05-04,50.974,51.097,50.974,51.097
2001-05-07,51.22,51.22,50.92,50.92
2001-05-08,50.868,51.128,50.717,50.717
2001-05-09,51.01,52.122,51.01,52.122
2001-05-10,52.051,52.165,52.023,52.165
2001-05-11,51.96,51.96,51.65,51.691
2001-05-14,51.656,51.73,51.514,51.73
2001-05-15,51.564,51.584,51.363,51.584
2001-05-16,51.518,52.127,51.518,52.127
2001-05-17,52.084,52.265,52.018,52.211
2001-05-18,52.115,52.882,52.115,52.882
2001-05-21,52.842,52.842,52.311,52.311
2001-05-22,52.217,52.234,51.975,51.975
2001-05-23,51.934,51.934,50.294,50.294
2001-05-24,50.559,50.689,49.977,50.689
2001-05-25,50.959,51.122,50.959,51.122
2001-05-28,51.134,51.324,51.134,51.256
2001-05-29,51.194,51.194,50.601,50.601
2001-05-30,50.485,50.562,50.131,50.146
2001-05-31,50.056,50.056,48.768,48.768
2001-06-01,48.805,48.865,48.66,48.865
2001-06-04,48.763,49.062,48.763,48.869
2001-06-05,48.771,49.48,48.771,49.48
2001-06-06,49.37,49.861,49.37,49.697
2001-06-07,49.386,50.148,49.34,50.148
2001-06-08,50.085,50.527,50.085,50.527
2001-06-11,50.674,50.912,50.674,50.912
2001-06-12,50.781,50.906,50.781,50.884
2001-06-13,50.925,51.535,50.925,51.535
2001-06-14,51.435,51.435,50.587,50.603
2001-06-15,50.644,51.234,50.626,51.234
2001-06-18,51.108,51.157,51.038,51.038
2001-06-19,51.053,51.067,50.931,50.968
2001-06-20,50.993,51.096,50.856,51.096
2001-06-21,51.411,51.47,51.267,51.47
2001-06-22,51.335,51.347,51.265,51.347
2001-06-25,51.545,51.545,51.074,51.074
2001-06-26,51.163,51.683,51.163,51.683
2001-06-27,51.692,51.854,51.487,51.812
2001-06-28,51.61,51.748,50.607,50.607
2001-06-29,50.278,50.617,50.054,50.617
2001-07-02,50.599,50.599,50.478,50.479
2001-07-03,50.423,50.782,50.423,50.782
2001-07-04,50.928,50.928,50.652,50.725
2001-07-05,50.53,50.705,50.53,50.693
2001-07-06,50.608,50.989,50.567,50.989
2001-07-09,50.91,51.009,50.77,51.009
2001-07-10,50.918,51.151,50.845,50.845
2001-07-11,50.897,50.897,50.279,50.279
2001-07-12,50.006,50.097,50.006,50.097
2001-07-13,50.384,50.77,50.384,50.77
2001-07-16,50.867,50.962,50.867,50.962
2001-07-17,50.96,50.96,50.732,50.788
2001-07-18,50.794,51.09,50.794,51.09
2001-07-19,51.352,51.352,51.085,51.085
2001-07-20,50.937,50.937,50.3,50.3
2001-07-23,50.388,50.848,50.388,50.848
2001-07-24,50.928,51.139,50.862,51.139
2001-07-25,51.095,51.095,50.88,50.88
2001-07-26,50.981,50.981,50.94,50.945
2001-07-27,50.982,50.982,50.802,50.921
2001-07-30,50.866,51.591,50.854,51.591
2001-07-31,51.458,51.666,51.245,51.666
2001-08-01,51.501,52.095,51.501,51.971
2001-08-02,51.833,51.879,51.833,51.842
2001-08-03,52.034,52.034,51.538,51.661
2001-08-06,51.633,51.95,51.633,51.95
2001-08-07,52.009,52.009,51.682,51.682
2001-08-08,51.75,52.34,51.75,52.34
2001-08-09,52.322,52.322,51.756,51.756
2001-08-10,51.749,51.911,51.749,51.871
2001-08-13,51.864,52.36,51.864,52.36
2001-08-14,52.266,52.4,52.214,52.4
2001-08-15,52.396,52.396,51.831,51.851
2001-08-16,52.036,52.082,51.928,52.032
2001-08-17,52.034,52.914,52.034,52.769
2001-08-20,52.844,52.905,52.632,52.632
2001-08-21,52.72,52.72,52.529,52.534
2001-08-22,52.811,53.151,52.811,53.151
2001-08-23,52.903,53.01,52.844,52.844
2001-08-24,52.773,52.89,52.638,52.866
2001-08-27,52.929,52.929,52.527,52.527
2001-08-28,52.4,52.858,52.4,52.858
2001-08-29,52.736,52.88,52.686,52.88
2001-08-30,52.734,52.734,52.614,52.669
2001-08-31,52.684,52.684,52.175,52.178
2001-09-03,52.216,52.216,51.793,51.793
2001-09-04,51.732,51.732,51.41,51.41
