Date,Open,High,Low,Close
2001-01-01,12.158,12.158,12.158,12.158
2001-01-02,12.203,12.203,12.203,12.203
2001-01-03,11.793,11.793,11.793,11.793
2001-01-04,12.347,12.347,12.347,12.347
2001-01-05,12.544,12.544,12.544,12.544
2001-01-08,12.304,12.304,12.304,12.304
2001-01-09,12.37,12.37,12.37,12.37
2001-01-10,12.279,12.279,12.279,12.279
2001-01-11,12.643,12.643,12.643,12.643
2001-01-12,12.71,12.71,12.71,12.71
2001-01-15,12.61,12.61,12.61,12.61
2001-01-16,12.412,12.412,12.412,12.412
2001-01-17,12.517,12.517,12.517,12.517
2001-01-18,12.491,12.491,12.491,12.491
2001-01-19,12.354,12.354,12.354,12.354
2001-01-22,12.245,12.245,12.245,12.245
2001-01-23,12.254,12.254,12.254,12.254
2001-01-24,12.199,12.199,12.199,12.199
2001-01-25,12.122,12.122,12.122,12.122
2001-01-26,12.182,12.182,12.182,12.182
2001-01-29,12.107,12.107,12.107,12.107
2001-01-30,12.107,12.107,12.107,12.107
2001-01-31,12.23,12.23,12.23,12.23
2001-02-01,12.225,12.225,12.225,12.225
2001-02-02,12.165,12.165,12.165,12.165
2001-02-05,12.065,12.065,12.065,12.065
2001-02-06,12.005,12.005,12.005,12.005
2001-02-07,12.13,12.13,12.13,12.13
2001-02-08,12.069,12.069,12.069,12.069
2001-02-09,12.174,12.174,12.174,12.174
2001-02-12,12.174,12.174,12.174,12.174
2001-02-13,11.96,11.96,11.96,11.96
2001-02-14,11.81,11.81,11.81,11.81
2001-02-15,11.672,11.672,11.672,11.672
2001-02-16,11.796,11.796,11.796,11.796
2001-02-19,11.891,11.891,11.891,11.891
2001-02-20,11.757,11.757,11.757,11.757
2001-02-21,11.758,11.758,11.758,11.758
2001-02-22,11.683,11.683,11.683,11.683
2001-02-23,11.72,11.72,11.72,11.72
2001-02-26,11.768,11.768,11.768,11.768
2001-02-27,11.794,11.794,11.794,11.794
2001-02-28,11.975,11.975,11.975,11.975
2001-03-01,12.049,12.049,12.049,12.049
2001-03-02,12.315,12.315,12.315,12.315
2001-03-05,12.222,12.222,12.222,12.222
2001-03-06,12.315,12.315,12.315,12.315
2001-03-07,12.33,12.33,12.33,12.33
2001-03-08,12.339,12.339,12.339,12.339
2001-03-09,12.287,12.287,12.287,12.287
2001-03-12,12.236,12.236,12.236,12.236
2001-03-13,11.951,11.951,11.951,11.951
2001-03-14,12.069,12.069,12.069,12.069
